Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Open Fist,A simple everyday moment that supports reflexive grasp.,"Before a baby can reach for anything they need to discover their hands exist, and this is part of that discovery. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","When baby's fists are clenched, gently stroke from wrist to fingertips along the back of the hand to encourage opening.",Fine Motor,3–5 min,None,0–3 months,AOTA Early Development; AAP Developmental Milestones; IAP
Bringing Hands Middle,A gentle activity that supports reflexive grasp.,"Before a baby can reach for anything they need to discover their hands exist, and this is part of that discovery. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Gently bring baby's hands together at the centre of their chest. Hold 3 seconds, release. This builds bilateral brain coordination.",Fine Motor,3–5 min,None,0–3 months,AOTA Early Development; AAP Developmental Milestones; IAP
Gentle Wrist Turns,"A calm, close activity for building reflexive grasp.","Hand movements are still involuntary now, so this is about sensation and awareness rather than skill. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Hold baby's forearm steady and gently rotate the wrist in small circles, 5 times each direction on each hand.",Fine Motor,3–5 min,None,0–3 months,AOTA Early Development; AAP Developmental Milestones; IAP
Holding Soft Toy,A gentle activity that supports reflexive grasp.,"Before a baby can reach for anything they need to discover their hands exist, and this is part of that discovery. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Place a small rolled cloth in baby's palm. Note how long the grasp reflex holds it and whether they bring it toward their mouth.,Fine Motor,3–5 min,Small soft cloth roll,0–3 months,AOTA Early Development; AAP Developmental Milestones; IAP
Narrate Every Routine,A gentle activity that supports early vocal play.,"Long before your baby says a word, they are learning the rhythm, pitch and melody of your language, and that learning happens now. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Talk through every nappy change, feed, and bath. 'Now I'm lifting your legs. This might feel cool.' Tone matters more than words.",Language & Communication,Ongoing,None,0–3 months,AAP Safe Sleep Guidance; IAP; IAP
Lori / Song,"A calm, close activity for building rhythm and melody of language.","Your voice is the most important sound in your baby's world, and every bit of talk builds the foundation for later language. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Sing one consistent song at the same time each day. Repetition builds a neural safety pattern. Same song, same voice, every day.",Language & Communication,5–10 min,None,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Sound Baby Makes,A gentle activity that supports early vocal play.,"Babies absorb the patterns of speech months before they can produce any of it, which is why talking to them matters so early. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","When baby makes any vowel sound, mirror it back exactly. Pause 10 full seconds before speaking again: that gap is the lesson.",Language & Communication,5–10 min,None,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Wait-and-Respond Talking Game,A simple everyday moment that supports early vocal play.,"Long before your baby says a word, they are learning the rhythm, pitch and melody of your language, and that learning happens now. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","After speaking or making a sound, count to 10 silently before responding again. You are teaching conversation structure.",Language & Communication,5–10 min,None,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Name Recognition Distance,"A calm, close activity for building early vocal play.","Long before your baby says a word, they are learning the rhythm, pitch and melody of your language, and that learning happens now. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.",Call baby's name from 1 metre away (not from directly in front). Watch for eyes or head turning toward the sound.,Language & Communication,3–5 min,None,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Sound Exploration,A simple everyday moment that supports early vocal play.,"Babies absorb the patterns of speech months before they can produce any of it, which is why talking to them matters so early. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Introduce one new household sound daily: wooden spoon on pot, rustling paper, running water. Watch how baby stills and locates.",Language & Communication,3–5 min,Household objects,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Sing-Song Baby Talk,A gentle activity that supports rhythm and melody of language.,"Your voice is the most important sound in your baby's world, and every bit of talk builds the foundation for later language. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Use a slightly higher pitch and slower pace than normal when talking to baby. This is biologically optimal for infant language processing.,Language & Communication,Ongoing,None,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Read Aloud,A gentle activity that supports exposure to language patterns.,"Babies absorb the patterns of speech months before they can produce any of it, which is why talking to them matters so early. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Read any book, recipe, or message aloud to baby. The vocabulary range and rhythm matter: comprehension is irrelevant at this stage.",Language & Communication,5–10 min,Any book or text,0–3 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
High-Contrast Cards,A gentle activity that supports visual attention and tracking.,"Newborn vision and attention are still developing, and this gives them exactly the kind of input that helps them along. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.",Hold a black-and-white card 25 cm from baby's face. Let them fixate 10 seconds before moving slowly left. Newborn vision peaks at this distance.,Cognitive,3–5 min,Paper with B&W pattern,0–3 months,Harvard Center on the Developing Child; Zero to Three; IAP
Face Gazing,A simple everyday moment that supports face recognition.,"Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Hold your face 20–30 cm from baby's. Make one slow exaggerated expression and hold it. Wait 10 seconds for their response.,Cognitive,5–8 min,None,0–3 months,Harvard Center on the Developing Child; Zero to Three; IAP
Mirror Gazing,A gentle activity that supports visual attention and tracking.,"At this stage thinking looks like looking: attention, recognition and noticing what is familiar. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Hold a small unbreakable mirror 25 cm from baby. They won't recognise themselves yet, but the responsive face is deeply engaging.",Cognitive,3–5 min,Any mirror,0–3 months,Harvard Center on the Developing Child (Serve and Return); IAP
Disappearing Face Peek,A simple everyday moment that supports face recognition.,"Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Cover your face with your hands. Hold 3 seconds. Reveal warmly. Very early object permanence and social anticipation practice.,Cognitive,5–10 min,None,0–3 months,Piagetian developmental framework; Harvard Center on the Developing Child; IAP
Light Shadow,"A calm, close activity for building visual attention and tracking.","Newborn vision and attention are still developing, and this gives them exactly the kind of input that helps them along. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Carry baby toward a window or lamp. Let them observe light change as you move closer and further. Narrate: 'Bright! Now darker.',Cognitive,3–5 min,Window or lamp,0–3 months,Harvard Center on the Developing Child; Zero to Three; IAP
B&W Pattern Book,"A calm, close activity for building visual attention and tracking.","Newborn vision and attention are still developing, and this gives them exactly the kind of input that helps them along. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Hold a high-contrast picture book 25 cm from baby. Spend 20–30 seconds on each page before turning. One page can hold attention this age.,Cognitive,5–8 min,High-contrast book or printed pages,0–3 months,Harvard Center on the Developing Child; Zero to Three; IAP
Skin-to-Skin Hold,"A calm, close activity for building comfort and co-regulation.","Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Undress baby to nappy and hold against bare chest tummy-to-tummy. Cover both lightly. Regulates temperature, cortisol, and heart rate.",Social-Emotional,15–30 min,None,0–3 months,AAP Safe Sleep Guidance; IAP; IAP
Smile Mirroring,A gentle activity that supports early social connection.,"This is the beginning of the relationship, and at this age closeness and responsiveness are the whole task. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","When baby makes a mouth movement or social smile, reflect it back immediately and wait. You are teaching: my expression has social power.",Social-Emotional,5–10 min,None,0–3 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Responsive Holding,"A calm, close activity for building comfort and co-regulation.","This is the beginning of the relationship, and at this age closeness and responsiveness are the whole task. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","When baby cries, respond before escalation. Consistent early response builds the secure attachment base for all future relationships.",Social-Emotional,Ongoing,None,0–3 months,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Emotional Narration,A simple everyday moment that supports comfort and co-regulation.,"Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Name what you see: 'You look uncomfortable. Let me see what's wrong.' Labelling emotional states builds the circuits for self-regulation later.,Social-Emotional,Ongoing,None,0–3 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Caregiver Rotation,A gentle activity that supports comfort and co-regulation.,"Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.",Let each main caregiver hold baby skin-to-skin. Each person's unique warmth and heartbeat is a distinct and valuable regulatory experience.,Social-Emotional,15–20 min,None,0–3 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Calm Modelling,A gentle activity that supports comfort and co-regulation.,"Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","When you feel anxious, slow your own breathing while holding baby. They sense and entrain to your nervous system state.",Social-Emotional,5–10 min,None,0–3 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Tel Maalish,"A calm, close activity for building tactile input and body awareness.","Sensory experience is how a newborn learns about their own body and the world around it. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Warm oil in palms. Begin with legs: least sensitive. Long slow strokes hip to foot, then arms, back, head. Stimulates vagus nerve.",Sensory,10–15 min,Coconut or mustard oil,0–3 months,AYUSH Ministry guidance on infant massage; IAP; IAP
Feel Different Things,A gentle activity that supports tactile input and body awareness.,"Your baby's nervous system is learning to make sense of touch, sound and movement, and gentle input helps it organise. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Gently touch different textures to baby's palm and feet: soft cloth, smooth wood, cool spoon. Name each: 'Soft. Smooth. Cool.'",Sensory,5–8 min,Household objects with varied textures,0–3 months,AOTA Sensory Integration; AAP Developmental Milestones; IAP
Outdoor Air Light,A gentle activity that supports visual processing.,Sensory experience is how a newborn learns about their own body and the world around it. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.,"Take baby outside for 10–15 min. Wind, natural light, birdsong, and temperature variation are multi-sensory inputs no indoor space can replicate.",Sensory,10–15 min,None,0–3 months,AOTA Sensory Integration; AAP Developmental Milestones; IAP
Water Temperature Play,"A calm, close activity for building visual processing.","Sensory experience is how a newborn learns about their own body and the world around it. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","During bath, with baby always within arm's reach, pour water at slightly different temperatures on hands. Narrate: 'Warm water now. A little cooler.' Never leave baby unattended in water, even briefly.",Sensory,5–10 min,Water in containers,0–3 months,AOTA Sensory Integration; AAP Developmental Milestones; IAP
Humming Chest,"A calm, close activity for building auditory processing.","Sensory experience is how a newborn learns about their own body and the world around it. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Place baby against your chest and hum or sing. The physical vibration is felt across their whole body and is deeply calming.,Sensory,5–10 min,None,0–3 months,AOTA Sensory Integration; AAP Developmental Milestones; IAP
Baby's Hunger Signs,"A calm, close activity for building feeding rhythm and hunger cues.","Daily care routines are your baby's first experience of predictability, and predictability is what makes them feel safe. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Learn early hunger cues: rooting, hand-to-mouth, stirring. Feed before crying. Responding to early cues builds baby's signal-response trust.",Self-Care & Adaptive,Ongoing,None,0–3 months,IAP Infant Care Guidance; UNICEF Responsive Caregiving; IAP
Watching Tired Signs,"A calm, close activity for building sleep and wake rhythms.","At this age self-care is entirely done for your baby, and the value lies in how calm and consistent it feels. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Track awake time: 0–6 weeks = 45–60 min; 6–12 weeks = 60–90 min. Beginning sleep routine before overtiredness sets in improves settling.,Self-Care & Adaptive,Ongoing,None,0–3 months,AAP Safe Sleep Guidance; IAP; IAP
Tummy Time Toy,A simple everyday moment that supports head and neck control.,"Every small movement now is building the neck, shoulder and trunk strength that rolling and sitting will later depend on. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Place an interesting toy just out of reach during tummy time. The motivation to lift and reach makes effort more sustained.,Gross Motor,5–10 min,Small toy or crinkle paper,4–6 months,AAP Safe Sleep and Tummy Time; WHO Motor Development; IAP
Rolling Facilitation,"A calm, close activity for building head and neck control.",In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.,"In tummy time, gently rock baby's hips toward one side. Give the nervous system the sensation of weight transfer needed for rolling.",Gross Motor,5–10 min,None,4–6 months,AAP Safe Sleep and Tummy Time; WHO Motor Development; IAP
Floor Roll Practice,A simple everyday moment that supports early rolling.,"Babies this age cannot yet control their movements, so this is about giving the body the right opportunities rather than teaching a skill. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Place baby on their back. Gently cross one leg over the other and let momentum encourage rolling to the side. Celebrate any attempt.,Gross Motor,5–8 min,None,4–6 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Supported Sitting,"A calm, close activity for building early trunk support.","Every small movement now is building the neck, shoulder and trunk strength that rolling and sitting will later depend on. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Sit baby on your lap facing outward, hands loosely around their trunk. Let them feel the work: don't over-support.",Gross Motor,3–8 min,None,4–6 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Prop Up Forearms,A simple everyday moment that supports head and neck control.,"Babies this age cannot yet control their movements, so this is about giving the body the right opportunities rather than teaching a skill. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","In tummy time, once baby pushes up on forearms, gently rock their hips side to side. This is the direct predecessor of rolling.",Gross Motor,5–10 min,None,4–6 months,AAP Safe Sleep and Tummy Time; WHO Motor Development; IAP
Against My Hands,A gentle activity that supports leg strength and kicking.,"Babies this age cannot yet control their movements, so this is about giving the body the right opportunities rather than teaching a skill. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Hold your palms against baby's feet while they lie on back. Let them push: this activates leg extensors used later for standing.,Gross Motor,5–8 min,None,4–6 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Bounce Lap,"A calm, close activity for building leg strength and kicking.","In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Hold baby upright on your lap, supporting under arms, and let them bounce slightly. Vestibular input and leg strength combined.",Gross Motor,3–5 min,None,4–6 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Tummy Time Mirror,A gentle activity that supports head and neck control.,"Babies this age cannot yet control their movements, so this is about giving the body the right opportunities rather than teaching a skill. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Prop an unbreakable mirror in front of baby during tummy time. Their own face is one of the strongest motivators to lift the head.,Gross Motor,5–10 min,Any mirror,4–6 months,AAP Safe Sleep and Tummy Time; WHO Motor Development; IAP
Reach Hanging Object,"A calm, close activity for building hand awareness and early grasp.","Your baby's hands are mostly working on reflex at this stage, and this gently invites them to open, feel and eventually grasp on purpose. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Hang a lightweight object (cloth, spoon) just above baby's chest while they lie on back. Wait: let them discover swiping makes it move.",Fine Motor,5–10 min,"Cloth, ribbon, or spoon on string",4–6 months,AOTA Early Development; AAP Developmental Milestones; IAP
Two-Handed Grasp,A simple everyday moment that supports reflexive grasp.,"Before a baby can reach for anything they need to discover their hands exist, and this is part of that discovery. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Offer a toy wider than one hand. Watch whether they use both hands together: bilateral integration milestone appearing around 4–5 months.,Fine Motor,5–10 min,Wide rattle or soft ring,4–6 months,AOTA Early Development; AAP Developmental Milestones; IAP
Object Transfer Observation,"A calm, close activity for building reflexive grasp.","Your baby's hands are mostly working on reflex at this stage, and this gently invites them to open, feel and eventually grasp on purpose. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Give a toy in one hand, then offer a second near the other. Do they transfer the first, or hold both? Transfer appears around 5–6 months.",Fine Motor,5–10 min,Two small soft objects,4–6 months,AOTA Early Development; AAP Developmental Milestones; IAP
Shake Listen,A simple everyday moment that supports hand awareness and early grasp.,"Hand movements are still involuntary now, so this is about sensation and awareness rather than skill. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Hand baby a small sealed container (lid glued or taped shut) with dried lentils inside. Let them discover shaking makes sound: first voluntary cause-effect action. Never use an unsealed container with loose lentils at this age.,Fine Motor,5–10 min,Sealed container with lentils,4–6 months,AOTA Early Development; AAP Developmental Milestones; IAP
Crinkle Paper Explore,A simple everyday moment that supports hand awareness and early grasp.,"Hand movements are still involuntary now, so this is about sensation and awareness rather than skill. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Give a piece of crinkled paper or foil (supervised). The sound, texture, and visual feedback engage three senses simultaneously.",Fine Motor,5–10 min,Baking paper or foil,4–6 months,AOTA Early Development; AAP Developmental Milestones; IAP
Press Feel,"A calm, close activity for building hand awareness and opening.","Hand movements are still involuntary now, so this is about sensation and awareness rather than skill. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Press a textured surface gently against baby's palm: a mesh bag, rough towel, smooth cup. The hand's sensory map is being built now.",Fine Motor,5–10 min,Various textured household surfaces,4–6 months,AOTA Early Development; AAP Developmental Milestones; IAP
Babble Echo Session,A gentle activity that supports early vocal play.,"Long before your baby says a word, they are learning the rhythm, pitch and melody of your language, and that learning happens now. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","When baby coos or babbles, echo it back exactly. Then add one new syllable: 'ooh… and then… ba?' Pause 10 seconds each time.",Language & Communication,5–10 min,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Makes Baby Laugh,A simple everyday moment that supports early vocal play.,"Your voice is the most important sound in your baby's world, and every bit of talk builds the foundation for later language. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Try raspberry sounds, sudden peekaboo, lifting gently in the air. The belly laugh (appearing around 3–4 months) is a major milestone.",Language & Communication,5–10 min,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Consonant Introduction,A gentle activity that supports listening and early vocal play.,"Your voice is the most important sound in your baby's world, and every bit of talk builds the foundation for later language. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Model ba-ba-ba, ma-ma-ma, da-da-da during alert windows. These are the first consonants baby will produce at 5–6 months.",Language & Communication,5–8 min,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Talk Both Languages,A gentle activity that supports listening and voice recognition.,"Your voice is the most important sound in your baby's world, and every bit of talk builds the foundation for later language. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Speak in two languages fluidly during routines. 'Now we're washing your hands: haath dho rahe hain.' Bilingual input from birth is a gift.,Language & Communication,Ongoing,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Photo Person I,"A calm, close activity for building response to voice.","Your voice is the most important sound in your baby's world, and every bit of talk builds the foundation for later language. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.",Point to each family member and say their name slowly. 'This is Dadi. Dadi.' Repetition over weeks builds face-name recognition.,Language & Communication,3–5 min,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Music Variety Session,"A calm, close activity for building early vocal play.","Babies absorb the patterns of speech months before they can produce any of it, which is why talking to them matters so early. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Play a different musical genre each day this week: classical, folk, jazz, film songs. Varied sound builds auditory discrimination.",Language & Communication,5–10 min,Phone or any music source,4–6 months,WHO Screen Time Guidelines (under 5); IAP Screen Time Guidance; IAP
Name: Moving,"A calm, close activity for building response to voice.","Long before your baby says a word, they are learning the rhythm, pitch and melody of your language, and that learning happens now. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Call baby's name from different positions: behind, left, right. Turn-to-name appearing consistently by 6 months is a key milestone.",Language & Communication,3–5 min,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Pause Song,"A calm, close activity for building rhythm and melody of language.","Long before your baby says a word, they are learning the rhythm, pitch and melody of your language, and that learning happens now. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Sing a familiar song and stop mid-verse. Wait. Watch baby's face: anticipation appearing means they have learned the pattern.,Language & Communication,5–8 min,None,4–6 months,ASHA Speech and Language Milestones; Harvard Center on the Developing Child (Serve and Return); IAP
Peekaboo,A simple everyday moment that supports face recognition.,"Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","While baby watches, slowly hide your face behind a cloth or book. Wait 5 seconds. Reveal. Object permanence for faces is appearing now.",Cognitive,5–8 min,Cloth or book,4–6 months,Piagetian developmental framework; Harvard Center on the Developing Child; IAP
Push See,"A calm, close activity for building visual attention and tracking.","Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Give baby a rattle. Let them discover that shaking = sound. When they look surprised after shaking, they have understood cause-effect.",Cognitive,5–10 min,Rattle or sealed container with lentils,4–6 months,Harvard Center on the Developing Child; Zero to Three; IAP
Out Box,"A calm, close activity for building visual attention and early recognition.","Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Show baby how to put an object into a bowl and take it out. Let them try. In-out schema is foundational for spatial reasoning.,Cognitive,5–10 min,Bowl and soft balls,4–6 months,Harvard Center on the Developing Child; Zero to Three; IAP
Follow My Point,"A calm, close activity for building visual attention and tracking.","Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Point at objects and then look at baby's face: do they follow your point? Joint attention developing around 5–6 months.,Cognitive,5–8 min,None,4–6 months,Harvard Center on the Developing Child; Zero to Three; IAP
